    Item       #   Sales    Cost Revenue
       1       6   48.00   21.00   27.00
       2       5   25.00    7.50   17.50
       3       4   20.00    6.00   14.00
       4       6   30.00    9.00   21.00
       5       8   40.00   12.00   28.00
       6       9   22.50    4.50   18.00
       7       5   12.50    3.00    9.50
       8       5   12.50    3.50    9.00
       9      12   42.00   12.00   30.00
      10      11   38.50   12.10   26.40
      11      12   42.00   14.40   27.60
      12      16   56.00   19.20   36.80
      13      14   42.00    7.00   35.00
      14       4   12.00    2.40    9.60
      15       5   15.00    3.50   11.50
      16      15   60.00   15.00   45.00
      17      17   68.00   18.70   49.30
      18      18   72.00   21.60   50.40
      19      18  153.00   45.00  108.00
      20      21  178.50   52.50  126.00
      21       3   25.50    7.50   18.00
      22       4   34.00   10.00   24.00
      23      24  204.00   60.00  144.00
      24      21  199.50   56.70  142.80
      25      22  209.00   59.40  149.60
      26      27  256.50   72.90  183.60
      27      26  247.00   70.20  176.80
      28       6   57.00   16.20   40.80
      29       6   57.00   17.40   39.60
      30      73  584.00  255.50  328.50
      31      28  224.00   98.00  126.00
      32      28  140.00   42.00   98.00
      33      31  155.00   46.50  108.50
      34      32  160.00   48.00  112.00
      35       5   25.00    7.50   17.50
      36       3   18.00    5.25   12.75
      37      35  210.00   61.25  148.75
      38      35  210.00   61.25  148.75
      39      35  262.50   52.50  210.00
      40      38  285.00   57.00  228.00
      41      40  300.00   60.00  240.00
      42       4   30.00    6.00   24.00
      43       4   30.00    6.00   24.00
      44      43  408.50  124.70  283.80
      45      41  389.50  118.90  270.60
      46      42  399.00  121.80  277.20
      47      44  418.00  127.60  290.40
      48      45  427.50  130.50  297.00
      49       8   60.00   12.00   48.00
      50       3    0.00    0.00    0.00
